,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time,is_cut_out,window_size,window_start,is_squashed
105,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,733.0,2297.0,249695.0,20.0,21.0,10755.0,198.0,238940.0,733.0,1.0,5.0,14.0,
106,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,568.0,2750.0,254785.0,20.0,21.0,10725.0,204.0,244060.0,568.0,1.0,5.0,9.0,
107,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,881.0,1777.0,254837.0,20.0,21.0,10757.0,204.0,244080.0,881.0,1.0,5.0,18.0,
108,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,3667.0,1798.0,252890.0,20.0,21.0,10730.0,202.0,242160.0,3667.0,1.0,5.0,12.0,
109,,4,False,pyqubo,1000,0,0,5,5,3,2.0,True,0,2.166666666666667,,majority_vote,0.976860881506769,455.0,1511.0,249697.0,20.0,21.0,10757.0,198.0,238940.0,455.0,1.0,5.0,15.0,
110,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,2135.0,1968.0,249701.0,20.0,21.0,10761.0,198.0,238940.0,2135.0,1.0,5.0,13.0,
111,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,3845.0,1942.0,249724.0,20.0,21.0,10783.0,198.0,238940.0,3845.0,1.0,5.0,3.0,
112,,5,False,pyqubo,1000,0,0,4,6,3,1.8333333333333333,True,0,1.816,,majority_vote,1.2525855149338996,670.0,2257.0,249702.0,20.0,21.0,10762.0,198.0,238940.0,670.0,1.0,5.0,17.0,
113,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,594.0,2148.0,254262.0,20.0,21.0,10801.0,203.0,243460.0,594.0,1.0,5.0,14.0,
114,,5,False,pyqubo,1000,0,0,4,6,3,1.8333333333333333,True,0,1.816,,majority_vote,1.2525855149338996,514.0,2069.0,249700.0,20.0,21.0,10760.0,198.0,238940.0,514.0,1.0,5.0,6.0,
115,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,755.0,1863.0,254833.0,20.0,21.0,10773.0,204.0,244060.0,755.0,1.0,5.0,16.0,
116,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,262.0,2564.0,253236.0,20.0,21.0,10776.0,202.0,242460.0,262.0,1.0,5.0,0.0,
117,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,596.0,1690.0,249708.0,20.0,21.0,10768.0,198.0,238940.0,596.0,1.0,5.0,19.0,
118,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,3800.0,2164.0,249693.0,20.0,21.0,10753.0,198.0,238940.0,3800.0,1.0,5.0,4.0,
119,,5,False,pyqubo,1000,0,0,4,6,3,1.8333333333333333,True,0,1.816,,majority_vote,1.2525855149338996,697.0,3006.0,249721.0,20.0,21.0,10781.0,198.0,238940.0,697.0,1.0,5.0,11.0,
120,,5,False,pyqubo,1000,3,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,647.0,2042.0,249690.0,20.0,21.0,10750.0,198.0,238940.0,647.0,1.0,5.0,5.0,
121,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,526.0,2959.0,249706.0,20.0,21.0,10766.0,198.0,238940.0,526.0,1.0,5.0,10.0,
122,,5,False,pyqubo,1000,3,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,824.0,1722.0,250935.0,20.0,21.0,10775.0,200.0,240160.0,824.0,1.0,5.0,15.0,
123,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,1326.0,1580.0,249744.0,20.0,21.0,10804.0,198.0,238940.0,1326.0,1.0,5.0,12.0,
124,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,783.0,2342.0,249706.0,20.0,21.0,10766.0,198.0,238940.0,783.0,1.0,5.0,18.0,
125,,5,False,pyqubo,1000,3,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,547.0,1872.0,253598.0,20.0,21.0,10778.0,202.0,242820.0,547.0,1.0,5.0,2.0,
126,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,1350.0,3782.0,249763.0,20.0,21.0,10823.0,198.0,238940.0,1350.0,1.0,5.0,8.0,
127,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,958.0,1639.0,249707.0,20.0,21.0,10767.0,198.0,238940.0,958.0,1.0,5.0,9.0,
128,,5,False,pyqubo,1000,2,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,1447.0,2051.0,249715.0,20.0,21.0,10775.0,198.0,238940.0,1447.0,1.0,5.0,1.0,
129,,5,False,pyqubo,1000,1,0,4,6,3,1.8333333333333333,True,0,1.816,5.0,majority_vote,1.2525855149338996,563.0,2844.0,251548.0,20.0,21.0,10768.0,200.0,240780.0,563.0,1.0,5.0,7.0,
