chain strength,not found,correct,num of reads,5,6,7,8,9
850,42,0,1000,1,1,33,279,644
850,49,0,1000,3,14,72,448,414
850,30,0,1000,2,5,49,451,463
900,51,0,1000,1,4,51,399,494
900,30,0,1000,2,12,56,446,454
900,25,0,1000,1,0,24,265,685
900,26,0,1000,0,7,24,233,710
900,34,0,1000,0,5,23,269,669
900,53,0,1000,0,3,56,511,377
900,52,0,1000,0,1,33,346,568
900,37,0,1000,0,1,38,543,381
900,42,0,1000,0,2,76,500,380
900,17,0,1000,0,7,70,478,428
950,59,0,1000,1,12,83,353,491
950,29,0,1000,1,6,83,376,504
950,51,0,1000,0,6,20,457,466
950,34,0,1000,1,5,61,330,569
950,52,0,1000,1,1,30,447,469
950,42,0,1000,0,3,32,461,462
950,32,0,1000,3,5,35,314,611
950,71,0,1000,2,7,48,508,364
950,32,0,1000,0,1,4,515,448
950,35,0,1000,0,2,62,496,405
1000,53,0,1000,0,5,25,269,648
1000,26,0,1000,0,3,56,422,493
1000,42,0,1000,1,10,78,359,510
1000,47,0,1000,0,2,17,266,668
1000,40,0,1000,0,4,55,560,341
1000,56,0,1000,1,5,78,583,277
1000,32,0,1000,0,19,68,487,394
1000,48,0,1000,1,4,28,436,483
1000,48,0,1000,0,4,51,448,449
1000,40,0,1000,0,4,32,470,454
9750,21,0,1000,1,2,59,384,533
9750,27,0,1000,0,14,96,475,388
9750,74,0,1000,1,0,46,386,493
9750,37,0,1000,3,19,90,316,534
9750,38,0,1000,0,2,37,211,712
9750,29,0,1000,0,4,32,439,496
9750,47,0,1000,0,7,51,515,380
9750,45,0,1000,3,9,56,424,463
9750,50,0,1000,0,6,67,287,590
9750,45,0,1000,0,3,58,446,448
9800,41,0,1000,0,11,55,302,591
9800,36,0,1000,0,2,36,507,419
9800,30,0,1000,1,3,60,368,538
9800,29,0,1000,0,3,24,480,464
9800,31,0,1000,1,9,28,502,429
9800,34,0,1000,3,10,89,481,383
9800,80,0,1000,3,16,159,344,397
9800,44,0,1000,0,8,38,405,505
9800,15,0,1000,0,3,50,276,656
9800,22,0,1000,0,4,37,204,733
9850,22,0,1000,1,2,19,271,685
9850,30,0,1000,1,12,53,349,555
9850,40,0,1000,0,8,49,472,431
9850,30,0,1000,1,3,47,526,393
9850,33,0,1000,0,5,36,390,536
9850,23,0,1000,0,7,45,245,680
9850,24,0,1000,1,1,29,376,569
9850,40,0,1000,0,4,27,407,522
9850,37,0,1000,1,3,37,313,609
9850,43,0,1000,1,1,45,312,598
